4681,WA13374TSE,5,m offshore,sighted,1,Yallingup,Canal Rocks Beach,NULL,NULL,2015-04-03T10:50,2.5m,unknown sp.,SLS Lifesavers report,tracking north,114.994,-33.6582
4682,WA56534TSE,50,m offshore,sighted,1,Perth Metro,Swanbourne Beach,NULL,NULL,2015-04-03T09:19,4m,unknown sp.,SLS Westpac Heli report,spotted near track 1 & 2 heading north,115.7433,-31.9594
4683,WA88926TSE,15,m offshore,sighted,1,Prevelly,Gas Bay,NULL,NULL,2015-04-02T15:54,3m,unknown sp.,SLS Westpac Heli report,NULL,114.9845,-34.0045
4684,WA72976TSE,30,m offshore,sighted,1,Cape Naturaliste,Other Side of the Moon Surfing Spot,NULL,NULL,2015-04-02T15:46,3m,unknown sp.,SLS Westpac Heli report,NULL,114.993,-33.5347
4685,WA25891TSE,20,m offshore,sighted,1,Cape Naturaliste,Sugarloaf Rock Beach,3 x,NULL,2015-04-02T15:29,3m,unknown sp.,SLS Westpac Heli report,NULL,114.9974,-33.5705
4686,WA59623TSE,30,m offshore,sighted,1,Cape Naturaliste,Bunker Bay Beach,NULL,NULL,2015-04-02T15:28,3m,unknown sp.,SLS Westpac Heli report,NULL,115.0435,-33.5364
4687,WA97621TSE,20,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,NULL,NULL,2015-04-02T15:27,2.7m,unknown sp.,SLS Westpac Heli report,NULL,114.9984,-33.5496
4688,WA56889TSE,15,m offshore,sighted,1,Prevelly,Gas Bay,NULL,NULL,2015-04-02T12:42,3m,unknown sp.,SLS Lifesavers report,NULL,114.9845,-34.0045
4689,WA88689TSE,10,m offshore,sighted,1,Yallingup,Injidup Bay,3 x,NULL,2015-04-02T12:26,3m,unknown sp.,SLS Lifesavers report,NULL,114.9822,-33.6889
4690,WA15522TSE,10,m offshore,sighted,1,Yallingup,Injidup Bay,3 x,NULL,2015-04-02T12:23,3m,unknown sp.,Public report,Tracking South,114.9822,-33.6889
4691,WA41433TSE,10,m offshore,sighted,1,Yallingup,Wyadup Bay,3 x,NULL,2015-04-02T12:16,3m,unknown sp.,SLS Lifesavers report,Tracking South,114.9834,-33.6729
4692,WA32347TSE,10,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,NULL,NULL,2015-04-02T12:12,2.5m,unknown sp.,SLS Lifesavers report,tracking North,115.01,-33.6479
4693,WA38887TSE,20,m offshore,sighted,1,Cape Naturaliste,Sugarloaf Rock Beach,3 x,NULL,2015-04-02T12:11,3m,unknown sp.,SLS Lifesavers report,NULL,114.9974,-33.5705
4694,WA36825TSE,20,m offshore,sighted,1,Cape Naturaliste,Windmills Surfing Spot,NULL,NULL,2015-04-02T12:09,2.7m,unknown sp.,SLS Lifesavers report,NULL,114.9984,-33.5496
4695,WA68847TSE,NULL,NULL,sighted,1,Yallingup,Smiths Beach SLSC,NULL,NULL,2015-04-01T10:59,3.5m,unknown sp.,SLS Lifesavers report,Appears shark is staying in the area,115.0161,-33.6602
4696,WA71921TSE,50,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,NULL,NULL,2015-04-01T10:57,3.5m,unknown sp.,SLS Lifesavers report,Sharks appear to be staying in the same area,115.01,-33.6479
4697,WA66429TSE,20,m offshore,sighted,1,Yallingup,Smiths Beach,NULL,NULL,2015-04-01T09:11,3.5m,unknown sp.,SLS Lifesavers report,NULL,115.0069,-33.6504
4698,WA12886TSE,20,m offshore,sighted,1,Yallingup,Super Tubes Surfing Spot,NULL,NULL,2015-04-01T09:09,3.5m,unknown sp.,SLS Lifesavers report,NULL,115.01,-33.6479
4699,WA18296TSE,1,km offshore,tagged & released,2,Albany,Limestone Head,NULL,NULL,2015-03-31T11:42,2.4m,whaler,Fisheries advise,NULL,117.9917,-35.0804
4700,WA41513TSE,100,m offshore,sighted,1,Albany,Hassell Beach,NULL,NULL,2015-03-31T09:40,4m,white,Public report,NULL,118.4293,-34.7903
4701,WA59635TSE,100,m offshore,sighted,1,Albany,Cheynes Beach (Waychinicup),NULL,NULL,2015-03-31T09:36,4m,white,Public report,NULL,118.4087,-34.8697
4702,WA43384TSE,30,m offshore,sighted,1,Esperance,Fourth Beach,NULL,2015-03-30T15:55,2015-03-30T14:45,4m,white,Public report,NULL,121.846,-33.8989
4703,WA57654TSE,30,m offshore,sighted,1,Esperance,Kelp Beds Beach,NULL,2015-03-29T09:59,2015-03-29T09:00,large,unknown sp.,Public report,NULL,122.0251,-33.8539
4704,WA84559TSE,4,km offshore,sighted,1,Rockingham,Passage Rock,NULL,2015-03-29T09:50,2015-03-29T08:00,4.1m,white,Public report,great white circled boat near reef,115.6817,-32.3329
4705,WA38626TSE,5,m offshore,sighted,1,Rockingham,Shoalwater Bay,NULL,2015-03-29T08:21,2015-03-29T07:00,1.9m,unknown sp.,Public report,NULL,115.6906,-32.296
4706,WA62342TSE,NULL,NULL,tagged & released,2,Albany,Limestone Head,NULL,NULL,2015-03-28T15:17,3m,tiger,Public report,NULL,117.9965,-35.0888
4707,WA53789TSE,NULL,NULL,sighted,1,Geraldton,Town Beach,NULL,NULL,2015-03-28T11:03,3.1m,tiger,Fisheries advise,2M off groyne,115.723,-32.5205
4708,WA91753TSE,200,m offshore,sighted,1,Albany,Herald Point,NULL,2015-03-27T16:29,2015-03-27T15:30,2.2m,bronze whaler,Fisheries advise,tagged and released,118.0414,-35.0285
4709,WA97336TSE,10,m offshore,sighted,1,Bunbury,Eaton Boat Ramp,NULL,2015-03-27T13:53,2015-03-27T09:50,NULL,unknown sp.,Public report,between Eaton and Leschanault,115.7,-33.3114
4710,WA35213TSE,250,m offshore,sighted,1,Mandurah,Avalon Beach,NULL,2015-03-26T14:30,2015-03-26T12:30,4m,white,Public report,further info to yesterdays reported sighting at Avalon Beach.,115.6313,-32.5849
4711,WA36156TSE,250,m offshore,sighted,1,Mandurah,Avalon Beach,NULL,2015-03-26T14:30,2015-03-26T12:40,4m,white,Public report,further info to yesterdays report Avalon Beach 4m Great White,115.6313,-32.5849
4712,WA55331TSE,250,m offshore,sighted,1,Mandurah,Avalon Beach,NULL,NULL,2015-03-26T14:32,NULL,unknown sp.,Public report,between dawesville and avalon beach,115.6313,-32.5849
4713,WA21282TSE,30,m offshore,sighted,1,Yallingup,Smiths Beach,3 x,NULL,2015-03-26T12:44,3m,unknown sp.,Public report,NULL,115.0069,-33.6504
4714,WA53973TSE,20,m offshore,sighted,1,Bunbury,McKenna Point,3 x,NULL,2015-03-24T11:32,2m,tiger,Fisheries advise,NULL,115.6446,-33.2916
4715,WA92261TSE,10,m offshore,sighted,1,Perth Metro,Shelley Bridge,NULL,2015-03-23T15:50,2015-03-23T11:30,2.5m,unknown sp.,Public report,Shark was in shallows under the bridge,115.9018,-32.0235
4716,WA75415TSE,NULL,NULL,sighted,1,Bunbury,McKenna Point,NULL,NULL,2015-03-23T12:15,NULL,whale carcass,DPAW report,Long-finned pilot whales have beached in the area,115.6457,-33.3007
4717,WA59113TSE,150,m offshore,sighted,1,Perth Metro,Leighton Beach,NULL,NULL,2015-03-20T10:15,3.5m,unknown sp.,SLS Lifesavers report,tracking south,115.7393,-32.0234
4718,WA59238TSE,NULL,NULL,sighted,1,Perth Metro,Mount Henry Bridge,NULL,2015-03-19T13:50,2015-03-19T11:00,1.5m,bull,Public report,NULL,115.8579,-32.0346
4719,WA35578TSE,150,m offshore,sighted,1,Yallingup,Smiths Beach,NULL,NULL,2015-03-15T10:22,3m,unknown sp.,SLS Lifesavers report,NULL,115.0069,-33.6504
4720,WA45526TSE,30,m offshore,sighted,1,Perth Metro,North Beach,NULL,2015-03-14T10:14,2015-03-14T09:40,4m,unknown sp.,Public report,North Beach Jetty,115.7407,-31.8552
4721,WA35263TSE,30,m offshore,sighted,1,Dunsborough,Bunker Bay,school of,NULL,2015-03-14T09:30,1.5m,hammerhead,SLS Lifesavers report,NULL,115.0447,-33.5364
4722,WA62979TSE,10,m offshore,sighted,1,Yallingup,Sugarloaf Rock,NULL,NULL,2015-03-14T09:10,2m,unknown sp.,SLS Lifesavers report,200m south of sand patches,114.9946,-33.5574
